iter	RMSE
0	166.2448196
1	164.8636908
2	163.2231144
3	161.944277
4	160.4340097
5	159.2441627
6	157.7474298
7	156.3809967
8	154.8357337
9	153.7118929
10	152.1412862
11	150.8590427
12	149.3126098
13	148.2804289
14	147.0545599
15	145.7339304
16	144.5613762
17	143.1646218
18	142.039052
19	140.5782996
20	139.4618561
21	138.5117262
22	137.0508811
23	135.9020073
24	134.8280053
25	133.7577883
26	132.3030916
27	131.0560622
28	129.8901709
29	128.7792375
30	127.5414285
31	126.6239535
32	125.677145
33	124.5269299
34	123.5347168
35	122.6552998
36	121.6297662
37	120.8524993
38	119.7808256
39	118.6677136
40	117.6335006
41	116.7153939
42	115.7969285
43	114.829497
44	113.8779199
45	112.7105703
46	111.7508726
47	110.7926831
48	109.7666013
49	108.9925433
50	108.2036011
51	107.1200765
52	106.0818588
53	105.2194481
54	104.4082084
55	103.4386629
56	102.6794026
57	101.7916572
58	100.8684268
59	100.0763716
60	99.2251914
61	98.29728943
62	97.71286012
63	96.82833696
64	96.07201351
65	95.27810303
66	94.4955856
67	93.7446769
68	92.95235171
69	92.12654829
70	91.33413373
71	90.5047719
72	89.85005848
73	89.14989167
74	88.4373295
75	87.87385638
76	87.15563921
77	86.40532079
78	85.63768698
79	84.9871321
80	84.23408074
81	83.62192591
82	82.97538445
83	82.27729463
84	81.54174856
85	81.00678828
86	80.35718405
87	79.56458358
88	78.99195387
89	78.44475141
90	77.77954271
91	77.13780986
92	76.53065087
93	75.79643006
94	75.18920995
95	74.64000968
96	73.95980427
97	73.31302463
98	72.73954022
99	72.27926979
100	71.7452506
101	71.22181923
102	70.61513638
103	70.01799355
104	69.45000839
105	68.97845238
106	68.45568289
107	67.88900702
108	67.36541073
109	66.7806576
110	66.31980702
111	65.78570015
112	65.26472934
113	64.80394809
114	64.33566849
115	63.75470648
116	63.14978634
117	62.71519523
118	62.32211202
119	61.71432265
120	61.2275392
121	60.88241156
122	60.40034979
123	59.87252354
124	59.40662939
125	58.86230316
126	58.40622533
127	57.95839901
128	57.49192925
129	56.94674896
130	56.49075456
131	56.05711896
132	55.50440363
133	55.07583199
134	54.7004144
135	54.29746869
136	53.84190863
137	53.39836306
138	53.02392522
139	52.65608557
140	52.19888107
141	51.72097447
142	51.24732014
143	50.81118075
144	50.41294575
145	50.0298729
146	49.65501618
147	49.19357414
148	48.81436004
149	48.39472078
150	48.07957261
151	47.67610048
152	47.26786825
153	46.9403212
154	46.55589899
155	46.17302778
156	45.78486065
157	45.38880974
158	45.05422034
159	44.6666394
160	44.38091204
161	43.96915846
162	43.574783
163	43.23133079
164	42.81203927
165	42.42771256
166	42.09565575
167	41.67811506
168	41.320937
169	41.00377433
170	40.69484822
171	40.41723492
172	40.07336683
173	39.73943119
174	39.3808012
175	39.07299627
176	38.8034389
177	38.43389926
178	38.03830985
179	37.68204805
180	37.33759903
181	37.05747752
182	36.74604085
183	36.41718057
184	36.10428056
185	35.83616881
186	35.54566865
187	35.26800309
188	34.98748245
189	34.61013072
190	34.39459339
191	34.15898698
192	33.86754289
193	33.56632095
194	33.33392024
195	33.0670916
196	32.79184455
197	32.52401642
198	32.25505037
199	31.9944202
200	31.7424735
201	31.47217314
202	31.17424544
203	30.92510856
204	30.680119
205	30.41488307
206	30.20658366
207	29.97032632
208	29.69895943
209	29.42144254
210	29.17716389
211	28.96577768
212	28.65403525
213	28.41106797
214	28.15975378
215	27.89788694
216	27.62277968
217	27.43887664
218	27.208552
219	27.03776392
220	26.82778201
221	26.61721019
222	26.3903607
223	26.18710129
224	25.99651881
225	25.77613527
226	25.58245659
227	25.35493836
228	25.12523653
229	24.92252872
230	24.71045502
231	24.48721439
232	24.27538282
233	24.08729913
234	23.86564248
235	23.64344487
236	23.49056088
237	23.28376041
238	23.04829969
239	22.89445715
240	22.69427134
241	22.52286855
242	22.45218395
243	22.26392773
244	22.09289565
245	21.87943487
246	21.69925897
247	21.54317429
248	21.37050979
249	21.18489779
250	20.98899623
251	20.83201163
252	20.6429014
253	20.48236909
254	20.30596757
255	20.2451062
256	20.06289792
257	19.91665118
258	19.7685074
259	19.66553039
260	19.57734504
261	19.42665146
262	19.23172887
263	19.15663526
264	18.98714381
265	18.88740838
266	18.7137707
267	18.57512499
268	18.41385698
269	18.27258971
270	18.12311083
271	18.0302663
272	17.95287571
273	17.90630241
274	17.76172242
275	17.64014425
276	17.58988669
277	17.45605641
278	17.40648378
279	17.35815482
280	17.2095244
281	17.07233853
282	17.02495921
283	16.88822357
284	16.84398497
285	16.71968604
286	16.60275345
287	16.47556554
288	16.38137916
289	16.23266414
290	16.102373
291	16.01618927
292	15.87599754
293	15.83344297
294	15.69515837
295	15.61658623
296	15.49658546
297	15.38437976
298	15.25914052
299	15.15743446
300	15.05627361
301	15.02078029
302	14.91562006
303	14.76597733
304	14.6401601
305	14.60684675
306	14.47081653
307	14.34781252
308	14.24075911
309	14.10228803
310	13.98957608
311	13.95715321
312	13.83302818
313	13.70919183
314	13.67428716
315	13.59634439
316	13.48502581
317	13.45446178
318	13.42426694
319	13.30624596
320	13.18819875
321	13.08956658
322	12.96655264
323	12.88488755
324	12.85792173
325	12.73023204
326	12.612877
327	12.52124193
328	12.49081725
329	12.41915193
330	12.32024501
331	12.29417303
332	12.19430348
333	12.09441743
334	11.98189372
335	11.88624948
336	11.79468005
337	11.72030295
338	11.62538195
339	11.55970035
340	11.47694516
341	11.4026384
342	11.32412399
343	11.21740821
344	11.15279512
345	11.08598016
346	10.99662265
347	10.90833082
348	10.8858282
349	10.80546616
350	10.7187433
351	10.6148634
352	10.54797134
353	10.49325968
354	10.40559876
355	10.32014693
356	10.2979271
357	10.27597603
358	10.19812942
359	10.11135755
360	10.03536067
361	9.991572521
362	9.910279306
363	9.83761973
364	9.774768499
365	9.728293624
366	9.647454773
367	9.572221743
368	9.49684125
369	9.454373292
370	9.412641174
371	9.364513642
372	9.304639845
373	9.250101047
374	9.181674889
375	9.111670356
376	9.063657867
377	8.978437018
378	8.899941143
379	8.856803206
380	8.778426051
381	8.759777595
382	8.689458796
383	8.652040478
384	8.588823918
385	8.553649783
386	8.505015273
387	8.473886462
388	8.407688418
389	8.354553518
390	8.338372553
391	8.288695297
392	8.225729648
393	8.190062939
394	8.131283424
395	8.07403813
396	8.013244351
397	7.955818254
398	7.905212087
399	7.833774921
400	7.801985851
401	7.735252002
402	7.678723963
403	7.662589939
404	7.602678893
405	7.540717153
406	7.511369615
407	7.448191719
408	7.419309384
409	7.368165164
410	7.335247029
411	7.279091051
412	7.248701231
413	7.201415431
414	7.14549734
415	7.094228502
416	7.045270118
417	7.029558271
418	7.000193567
419	6.932713994
420	6.886500649
421	6.83837633
422	6.783991246
423	6.738255459
424	6.698405328
425	6.653593741
426	6.614947778
427	6.562384797
428	6.539495488
429	6.503610797
430	6.475427299
431	6.449658631
432	6.432279451
433	6.410210912
434	6.390646982
435	6.34824218
436	6.307081503
437	6.276106072
438	6.222192935
439	6.209059664
440	6.195861522
441	6.182998638
442	6.144943463
443	6.105608463
444	6.063369733
445	6.051835672
446	6.007280792
447	5.972937313
448	5.929278367
449	5.895666223
450	5.883703162
451	5.87191502
452	5.827775986
453	5.816203492
454	5.774428138
455	5.731860095
456	5.718173822
457	5.676293586
458	5.654961034
459	5.621105775
460	5.602855397
461	5.552882498
462	5.517777671
463	5.482095725
464	5.446570678
465	5.405365983
466	5.35909725
467	5.315702992
468	5.281611717
469	5.239586861
470	5.215612781
471	5.174262204
472	5.136720815
473	5.126604398
474	5.09555169
475	5.070237654
476	5.037730002
477	5.028493829
478	4.995785097
479	4.986189812
480	4.977052706
481	4.942348267
482	4.907855491
483	4.868522363
484	4.859670365
485	4.822618199
486	4.787452406
487	4.763036835
488	4.754335356
489	4.722467061
490	4.71400076
491	4.686013478
492	4.651968912
493	4.612957994
494	4.581899666
495	4.573740387
496	4.543395565
497	4.535398396
498	4.527501888
499	4.497931283
500	4.469613194
501	4.435462845
502	4.427296073
503	4.419585608
504	4.396395012
505	4.367958923
506	4.341815932
507	4.314565862
508	4.286400347
509	4.262812654
510	4.255452432
511	4.22738331
512	4.200911619
513	4.193943705
514	4.166367318
515	4.159000943
516	4.137397462
517	4.130624385
518	4.10772562
519	4.079440221
520	4.050619929
521	4.024873235
522	3.992306337
523	3.967602972
524	3.942723872
525	3.921773148
526	3.901248336
527	3.875361516
528	3.851301731
529	3.829026981
530	3.810482794
531	3.790962209
532	3.768253011
533	3.742476587
534	3.720969811
535	3.699593805
536	3.693521498
537	3.687462524
538	3.661292813
539	3.638744526
540	3.630686386
541	3.607297524
542	3.578277041
543	3.560526546
544	3.540742942
545	3.519053629
546	3.499359749
547	3.476695144
548	3.471182903
549	3.44992506
550	3.431132119
551	3.425711901
552	3.405734061
553	3.386441562
554	3.367922779
555	3.349761058
556	3.343816717
557	3.338724138
558	3.311983235
559	3.294700911
560	3.282488711
561	3.259398384
562	3.2538304
563	3.237457577
564	3.215079669
565	3.188281141
566	3.175837443
567	3.159120436
568	3.143312069
569	3.132408649
570	3.127426904
571	3.108837415
572	3.085977576
573	3.080571639
574	3.059762565
575	3.03975229
576	3.01988686
577	3.007934888
578	2.994327102
579	2.990061578
580	2.972642034
